raw_skill,canonical_skill
Talent Management,Human Resources
Tally Prime,Tally
Tally Software,Tally
Teaching,Teaching
Teaching Experience,Teaching
Team Building and Leading,Leadership
Team Building and Leading,Team Management
Team Collaboration,Teamwork
Team Development,Team Management
Team collaboration,Teamwork
Team management,Team Management
Teamwork & Collaboration,Teamwork
Technical Training,Teaching
Tele Sales Marketing,Sales
Telemarketing,Telemarketing
Telesales & Communication,Telemarketing
Tender Management,Project Management
Time Management,Time Management
Time Management & Accountability,DROP
Time Management & Accountability,Time Management
Time management,Time Management
Time management and organizational skills,Time Management
Training Facilitation Skills,Teaching
Understanding child’s psychology,Teaching
VAT Law,VAT & Tax
VAT and Tax related work,VAT & Tax
Vedio Production,Photography / Videography
Vedio editing,Video Editing
Visa Compliance,Legal & Compliance
Windows Server Manage,Database Administration
Youth Development,Community Development
communication skill.,Communication
e-GP Tender,Project Management
good fluency in speaking and in writting english,English
prepare lesson content,Teaching
showroom management,Administration
